lat,lon,PM2.5_ATM_ug/m3
40.633573,-111.882594,11.01
40.637937,-111.893465,16.04
40.656243,-111.910328,14.35
40.638115,-111.922076,14.67
40.639707,-111.869771,14.74
40.644392,-111.866884,13.02
40.647797,-111.916093,16.23
40.697024,-111.896698,18.69
40.655241,-111.885622,15.21
39.716946,-111.829017,3.76
40.904179,-111.870194,25.78
40.685661,-111.82788,8.62
41.094535,-111.969165,10.88
40.828964,-111.906944,8.58
40.677077,-112.033238,10.63
40.255934,-111.631769,2.36
40.493534,-111.867661,12.41
40.603078,-111.836119,2.82
40.778871,-111.757519,2.34
40.869394,-111.933416,15.54
41.245721,-111.937375,8.88
40.708252,-112.098628,17.42
40.678363,-111.784152,4.97
40.678355,-111.784228,0.38
40.629225,-112.040451,7.31
40.843392,-111.906374,74.31
37.273876,-112.638972,5.27
40.298554,-111.705476,7.02
40.286076,-111.676523,6.76
40.308326,-111.704985,5.78
40.282591,-111.699097,0
40.285429,-111.71468,8.32
40.324206,-111.715007,10.48
40.265172,-111.69002,7.35
40.297525,-111.688883,7.79
40.293628,-111.708981,6.49
40.313946,-111.697006,8.13
40.278251,-111.688656,7.16
40.315156,-111.666674,4.68
40.301528,-111.712853,12.48
40.272822,-111.680784,8.13
40.310106,-111.713247,8.56
40.278594,-111.700186,10.48
40.28388,-111.744694,8.39
40.325105,-111.645705,3.96
40.295698,-111.714178,6.75
40.262985,-111.703987,9.34
40.316941,-111.677033,5.84
40.308383,-111.729892,9.26
40.286447,-111.686284,6.56
40.271812,-111.704772,7.72
41.579343,-111.849272,4.08
41.384924,-111.900773,0.72
41.320458,-111.837222,3.47
41.32704,-111.814401,2.74
41.248292,-111.754688,3.23
41.370071,-111.764814,0.72
41.159083,-111.798325,4.51
41.384322,-111.768118,1.22
41.340422,-111.849453,3.85
41.257576,-111.707551,3.53
41.373808,-111.792159,1.27
41.319295,-111.806807,3.12
41.301608,-111.862367,2.84
41.361837,-111.743249,1.12
40.351826,-111.973331,6.41
40.47583,-111.886958,8.3
40.47575,-111.886892,3
41.583102,-111.840024,5.64
41.109829,-112.005763,8.53
40.030931,-111.742105,5.94
40.031568,-111.729787,6.05
40.043211,-111.738656,8.55
40.02223,-111.735336,6.84
40.04265,-111.712522,8.68
40.059817,-111.729632,10.13
40.023569,-111.746518,9.17
40.028043,-111.731841,9.81
40.044366,-111.726198,8.49
40.027738,-111.761091,10.35
41.729627,-111.821723,0.31
40.507997,-111.849326,8.58
41.691758,-111.918549,9.2
41.46425,-112.034863,7.7
40.74772,-111.578768,2.48
40.733523,-111.573224,2.3
40.733211,-111.587538,1.95
40.521893,-111.939102,1.79
40.52877,-111.962788,7.75
38.30887,-111.433058,7.9
40.243845,-111.662906,10.13
40.777286,-111.895326,11.6
40.712196,-111.298946,2.71
40.649096,-111.283441,3.91
40.530092,-111.913656,4.9
40.522303,-111.929191,8.64
40.601185,-111.81312,8.24
40.542731,-111.818753,4.39
40.626325,-112.293519,9.62
40.724704,-111.882798,14.65
40.05355,-111.673824,7.12
40.730721,-111.884235,1.02
37.137828,-113.365155,0.29
40.543009,-111.819156,5.96
40.394865,-111.924794,9.53
40.676312,-111.788121,5.68
40.64549,-111.28024,3.15
40.71507,-111.29935,3.09
40.87015,-111.872682,0.05
40.513666,-112.322193,6.34
40.11978,-111.655343,9.05
37.0406,-113.629431,3.55
37.031406,-113.50772,3.67
41.165748,-111.935108,2.52
40.571616,-111.924193,1.33
40.155468,-111.588592,5.7
40.110869,-111.62147,5.34
40.699083,-111.536611,2.51
40.649268,-111.807017,8.39
40.742577,-111.982119,15.47
40.742903,-111.981915,4.94
40.260998,-111.688183,8.45
40.4718,-111.4675,59.25
40.4718,-111.4675,3.36
40.646165,-111.872708,13.16
40.667309,-111.799645,6.86
41.124455,-111.924707,7.39
40.084704,-111.61103,3.53
40.103345,-111.645097,7.29
40.10048,-111.663125,8.17
39.484842,-111.493991,3.63
40.536274,-111.975689,10.48
37.111172,-113.550371,4.84
40.58124,-111.847381,18.56
40.529527,-112.282781,5.67
40.734719,-111.833849,7.68
40.728233,-111.838333,9.19
40.723433,-111.867094,3.75
40.919107,-111.398083,2.51
41.016405,-111.50052,6.95
40.685568,-111.469363,2.2
40.720794,-111.540634,3.87
40.735116,-111.498869,3.9
40.740052,-111.607013,1.77
40.474002,-111.8389,6.18
40.481754,-111.841075,7.08
40.474133,-111.838699,5.82
40.750817,-111.825285,6.56
40.485956,-111.860698,8.7
41.095139,-112.047747,15.6
41.106194,-112.062717,11.99
40.475832,-111.826507,7.73
41.215959,-111.930865,4.94
40.640174,-111.931699,13.54
40.646466,-111.958765,13.91
40.742316,-111.566044,2.9
40.790819,-111.862579,0.43
40.791091,-111.863127,5.62
40.787405,-111.900594,1.5
40.473287,-111.247671,2.25
40.789022,-111.86687,28.33
40.754725,-111.854599,2.6
40.727275,-111.883334,14.67
40.480468,-111.923004,11.81
38.543041,-109.49645,2.59
40.512966,-112.314193,5.52
40.530434,-112.349045,6.85
40.528574,-112.310605,4.97
40.515218,-112.306741,17.88
40.452368,-111.891484,8.03
40.449538,-111.88973,7.09
40.44844,-111.884566,8.36
40.452123,-111.890361,8.76
40.641613,-111.494678,2.12
41.720159,-112.15917,8.4
41.709941,-112.167089,7.06
41.721147,-112.181612,6.32
41.702421,-112.176204,29.92
37.622703,-109.490258,3.13
40.749149,-111.912459,15.75
40.545665,-111.413911,7.62
40.42886,-111.897115,20.4
40.428109,-111.896042,11.43
40.093484,-112.432977,2.77
40.647141,-111.911746,15.2
40.901444,-111.882868,11.67
37.687324,-113.062237,1.35
40.501043,-111.894824,9.86
40.475732,-111.887014,1.11
40.734,-111.846,7.24
40.533266,-111.49002,2.44
41.150281,-112.070119,5.82
41.224423,-111.968378,6.05
40.751728,-111.59289,3.13
40.52472,-112.310859,6.37
40.601076,-112.00004,11.53
40.08548,-111.796896,7.48
40.722637,-111.935751,13.89
40.70729,-112.033984,16.13
40.681833,-112.047636,11.81
40.703102,-112.02363,14.77
40.68405,-111.990685,14.32
40.709091,-111.959244,18.8
40.693681,-111.943679,45.24
40.706019,-112.053782,13.68
40.696353,-111.979435,17.32
40.701218,-111.96849,16.95
40.703495,-111.951002,5.6
40.703975,-111.929743,17.56
40.689141,-111.957117,15.23
40.633515,-112.043668,9.59
40.682565,-111.97852,15.29
40.675103,-111.975699,15.34
40.595386,-111.807754,5.47
40.596506,-111.801081,7.82
40.582349,-111.225242,1.44
40.023699,-111.649065,3.51
41.195732,-111.936555,5.12
41.191981,-111.941976,6.35
41.194405,-111.944093,18.85
41.19531,-111.947446,7.45
41.192739,-111.943092,6.51
40.694588,-111.960084,17.32
40.6909,-111.791479,1.75
40.77948,-111.875565,8.92
40.77948,-111.875565,1.1
